calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,alcohol,ash,caffeine,theobromine,water
25,0.0,0.0,0.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,3.1,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,89.9
51,0.1,0.0,0.0,5.0,1.5,7.0,0.0,0.08,0.07,0.003,0.003,692.0,35.0,0.0,402.0,26.0,0.0,0.0,0.015,15.2,0.0,0.21,0.8,17.0,0.015,0.36,3.0,0.028,2.0,24.0,0.4,0.02,0.11,0.005556122448979592,0.006105,0.009015958021758298,0.001136107904256138,0.015654469725723645,0.004516885959086079,0.0027615205582483702,0.0,0.0044294511303303126,0.007761462020905923,0.007615998759305211,0.002369820531632711,0.004027867869202061,0.004467984359107318,0.0040739741747989645,0.0039881516587677735,0.0011102264038134594,0.003309706721417766,0.004914113064581801,13.12,0.3,12.45,5.56,0.0,5.31,0.0,0.56,1.02,0.06,0.014,0.022,0.011,0.0,0.08,0.0,0.0,86.63
407,7.2,1.4,78.0,253.0,0.0,87.0,23.0,4.625,0.605,0.399,0.404,41.0,12.0,0.0,0.0,0.0,0.0,0.18,0.047,0.0,0.0,0.0,0.0,27.0,0.245,2.72,36.0,0.439,153.0,245.0,20.1,1.1,13.5,0.606,0.649,0.944,0.272,3.192,0.498,0.309,0.0,0.61,1.01,0.684,0.29,0.668,1.052,0.768,0.512,0.171,0.471,0.684,72.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,1.376,2.755,2.31,0.0,1.2,0.0,0.0,5.5
215,15.0,3.9,84.0,67.0,13.3,86.0,0.0,0.4,0.0,0.2,0.06,100.0,30.0,0.0,0.0,0.0,0.0,0.47,0.01,0.0,8.0,0.27,0.2,88.0,0.102,0.91,5.0,0.0,83.0,31.0,3.6,0.69,19.4,0.9798979591836734,1.0767,1.5900871420191904,0.2003681212960825,2.760879206173079,0.7966144327842719,0.48703180754562164,0.0,0.7811941084400733,1.3688396655052262,1.34318523573201,0.41795016648795075,0.710369424204727,0.7879899687880179,0.7185008999190899,0.7033649289099527,0.19580356576346467,0.583711912686406,0.8666708495716995,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,3.92,5.5,2.98,0.0,0.0,0.0,0.0,65.8
134,4.5,1.3,70.0,51.0,0.0,7.0,0.0,8.2,0.787,0.285,0.283,57.0,17.0,0.0,0.0,0.0,0.0,0.47,0.53,7.2,0.0,0.0,0.0,13.0,0.594,4.51,25.0,0.019,307.0,237.0,17.4,2.7,21.76,1.341,1.379,1.814,0.38,2.82,1.442,0.825,0.0,1.187,1.866,1.905,0.689,0.944,0.797,1.062,1.09,0.341,1.01,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,1.32,1.28,1.17,0.0,1.32,0.0,0.0,70.03
316,16.0,2.5,0.0,374.0,0.0,18.0,15.0,1.425,0.11,0.106,0.141,32.0,2.0,0.0,0.0,0.0,0.0,0.08,0.03,0.0,0.0,0.0,0.0,22.0,0.047,1.22,10.0,0.224,43.0,65.0,2.4,0.23,3.0,0.093,0.112,0.156,0.059,0.906,0.098,0.062,0.0,0.12,0.211,0.121,0.052,0.138,0.314,0.154,0.089,0.042,0.09,0.138,42.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,2.457,7.449,5.376,0.0,1.1,0.0,0.0,37.6
29,0.4,0.1,0.0,3.0,7.5,27.0,0.0,1.28,0.315,0.07,0.04,1078.0,54.0,67.0,561.0,105.0,861.0,0.0,0.419,118.6,0.0,3.58,18.5,12.0,0.046,0.25,15.0,0.097,26.0,248.0,0.4,0.14,0.91,0.045964285714285714,0.050505,0.0745865618163641,0.009398710844300778,0.12950515864007744,0.037366965661530284,0.022845306436418338,0.0,0.03664364116909623,0.06420845853658536,0.0630050806451613,0.019604878943506973,0.03332145237248978,0.03696241606170599,0.03370287726424598,0.03299289099526067,0.009184600249729528,0.02738030105900152,0.04065311717063127,6.5,2.8,4.12,2.63,0.0,1.48,0.0,0.0,0.0,0.37,0.092,0.029,0.112,0.0,0.53,0.0,0.0,91.69
148,0.9,0.2,0.0,35.0,0.0,19.0,0.0,1.64,0.116,0.149,0.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,30.0,1.386,2.0,24.0,0.532,45.0,586.0,0.7,1.39,11.6,0.397,0.412,1.735,0.197,0.8,0.39,0.241,0.0,0.425,0.64,0.592,0.143,0.451,0.679,0.464,0.451,0.252,0.353,0.599,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.222,0.234,0.174,0.0,2.0,0.0,0.0,57.4
172,9.2,2.8,76.0,1107.0,53.1,10.0,0.0,3.979,1.074,0.303,0.426,6.0,2.0,0.0,0.0,0.0,0.0,0.99,0.427,0.0,24.0,0.24,1.3,40.0,0.19,1.25,22.0,0.02,266.0,216.0,26.4,2.32,19.2,0.947,1.067,1.486,0.159,2.497,0.759,0.477,0.0,0.796,1.219,1.442,0.443,0.607,0.637,0.681,0.681,0.174,0.605,0.813,1.55,0.1,1.12,0.0,0.0,0.0,0.0,0.0,0.0,9.21,2.783,3.172,2.466,0.0,1.68,0.0,0.0,68.8
57,0.5,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,67.0,3.0,1.0,39.0,1.0,64.0,0.0,0.0,6.5,0.0,0.0,0.0,37.0,0.119,0.26,14.0,1.973,24.0,203.0,0.0,0.11,0.81,0.04091326530612245,0.044955,0.06639023634203838,0.008365885476795199,0.11527382252578322,0.03326070569872476,0.02033483320164709,0.0,0.03261686741425049,0.057152583972125436,0.05608144540942929,0.017450496642022688,0.029659754309578817,0.03290061209888116,0.0299992643780651,0.029367298578199058,0.008175303518990021,0.02437147676680355,0.036185741657375085,13.93,3.9,0.0,3.92,0.0,3.67,0.0,0.0,0.57,0.47,0.0,0.0,0.0,0.0,0.5,0.0,0.0,84.29
182,1.7,0.3,0.0,7.0,0.0,54.0,0.0,6.0,0.16,0.09,0.22,558.0,28.0,0.0,0.0,0.0,0.0,0.0,0.328,15.0,0.0,0.0,0.0,2.0,0.274,1.0,27.0,0.113,124.0,510.0,0.0,0.34,4.32,0.247,0.42,0.543,0.023,0.836,0.232,0.102,0.0,0.209,0.316,0.206,0.055,0.171,0.347,0.29,0.268,0.071,0.061,0.283,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.319,0.619,0.618,0.0,1.2,0.0,0.0,55.2
272,5.9,3.3,0.0,24.0,0.0,0.0,0.0,4.08,0.0,0.0,0.366,5130.0,257.0,0.0,0.0,0.0,0.0,0.0,1.81,50.0,0.0,0.0,0.0,2132.0,0.847,37.88,377.0,6.1,140.0,1051.0,4.6,4.3,6.73,0.3399336734693878,0.37351500000000004,0.5516127044221213,0.06950914723312554,0.9577689204920014,0.2763512954968119,0.16895484870010485,0.0,0.2710018737011182,0.4748603581881533,0.46596065136476433,0.14498992888989223,0.24643227963390793,0.2733594066981114,0.249253147239973,0.2440023696682465,0.06792566997876893,0.20249387486492335,0.3006543720421411,68.73,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,3.26,0.0,0.0,0.0,9.63,0.0,0.0,9.0
516,33.0,4.7,0.0,167.0,16.7,51.0,0.0,3.703,0.033,0.159,0.444,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.491,0.0,0.0,0.16,0.0,639.0,0.95,4.27,251.0,1.609,412.0,307.0,4.0,3.76,11.6,0.5859183673469388,0.6438,0.9507737550217841,0.11980774263064728,1.65083498925813,0.476326155685441,0.2912148952334645,0.0,0.4671057555621057,0.8184814494773518,0.8031416873449132,0.24990834697217676,0.42475697529767187,0.47116925968768075,0.4296190947969817,0.420568720379147,0.117078420765783,0.3490236178949644,0.5182155595377173,50.3,7.7,31.17,0.0,0.0,0.0,0.0,0.0,0.0,33.3,4.662,12.571,14.591,0.0,2.6,0.0,0.0,2.2
201,15.0,9.1,54.0,359.0,12.1,19.0,0.0,0.125,0.845,0.185,0.04,552.0,161.0,0.0,11.0,0.0,0.0,0.92,0.045,0.0,11.0,0.27,1.1,148.0,0.032,0.17,8.0,0.011,152.0,247.0,4.0,0.57,7.85,0.243,0.311,0.68,0.055,1.725,0.187,0.232,0.0,0.429,0.869,0.75,0.252,0.384,0.88,0.495,0.308,0.091,0.401,0.522,8.13,0.0,5.82,0.0,0.0,0.0,5.82,0.0,0.0,15.28,9.098,3.996,0.658,0.0,2.03,0.0,0.0,66.72
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,90.7
270,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.081,0.0,1.27,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.11,21.0,2.3,0.0,225.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.38,0.0,59.92,0.34,0.0,0.65,0.0,0.0,58.93,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,32.15
119,3.0,1.2,75.0,81.0,0.0,8.0,0.0,4.691,1.158,0.286,0.195,0.0,0.0,0.0,0.0,0.0,0.0,4.94,0.509,0.0,0.0,0.2,0.0,6.0,0.137,3.13,22.0,0.018,214.0,312.0,35.4,3.76,21.67,1.39,1.482,2.027,0.223,3.322,1.448,0.544,0.387,1.03,1.761,1.914,0.606,0.894,1.13,0.867,0.951,0.193,0.705,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,1.2,1.06,0.58,0.0,0.73,0.0,0.0,75.35
268,0.4,0.1,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.058,0.093,0.232,0.0,1.3,0.0,0.0,3.5
371,1.5,0.3,0.0,6.0,0.0,18.0,0.0,1.7,0.431,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142,0.0,0.0,0.11,0.1,21.0,0.289,1.3,53.0,0.917,189.0,223.0,63.2,1.41,13.04,0.438,0.474,0.624,0.255,4.596,0.441,0.298,0.0,0.511,0.988,0.298,0.147,0.668,1.569,0.617,0.462,0.185,0.243,0.588,74.67,3.2,2.67,0.11,0.0,0.12,0.0,1.96,0.48,1.51,0.277,0.171,0.564,0.0,0.88,0.0,0.0,9.9
20,0.2,0.0,0.0,12.0,0.0,57.0,0.0,0.208,0.0,0.038,0.045,2850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,0.0,0.0,0.0,24.0,0.0,0.65,0.0,0.0,0.0,220.0,0.0,0.0,1.03,0.05202551020408164,0.057165,0.08442215238555496,0.010638101285307474,0.14658276197723052,0.04229447761689692,0.02585787431814383,0.0,0.04147576967491111,0.07267550801393728,0.0713134429280397,0.02219013770528811,0.037715490047982934,0.04183658081709579,0.03814721272766303,0.0373436018957346,0.01039575632661694,0.030990890209639084,0.04601396778653869,4.3,1.6,2.24,1.15,0.0,0.92,0.0,0.0,0.17,0.19,0.02,0.006,0.079,0.0,0.54,0.0,0.0,93.93
406,11.0,5.3,0.0,370.0,27.0,118.0,98.0,3.861,0.0,0.493,0.541,3.0,1.0,0.0,0.0,0.0,12.0,0.19,0.074,0.0,0.0,0.45,3.8,0.0,0.101,0.0,28.0,0.0,193.0,307.0,23.9,0.61,7.05,0.3560969387755102,0.391275,0.5778409459399636,0.07281418840914339,1.0033091960577427,0.28949132737778954,0.17698836305137283,0.0,0.28388754971662455,0.497439156794425,0.48811628411910674,0.1518839522546419,0.258149713435223,0.28635717937915084,0.2611047084757518,0.25560426540284364,0.07115541951713536,0.2121221125999568,0.3149499736845609,70.54,3.5,21.16,0.0,0.0,0.0,0.0,0.0,0.0,10.58,5.291,2.694,1.67,0.0,2.03,0.0,0.0,9.79
30,0.8,0.1,0.0,7.0,26.5,104.0,0.0,0.459,0.0,0.153,0.1,1720.0,86.0,0.0,1032.0,0.0,957.0,0.0,0.074,29.6,0.0,0.5,89.1,105.0,0.064,0.59,19.0,0.0,43.0,274.0,1.4,0.41,1.2,0.06061224489795918,0.06659999999999999,0.09835590569190869,0.01239390441006696,0.1707760333715307,0.049275119553666306,0.030125678817254947,0.0,0.048321285058148866,0.08467049477351915,0.08308362282878412,0.02585258761781139,0.04394037675493157,0.04874164755389801,0.04444335463417052,0.04350710900473934,0.012111560768874104,0.03610589150637563,0.0536085061590742,4.67,2.6,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.116,0.053,0.347,0.0,0.83,0.0,0.0,92.55
271,16.0,2.3,0.0,580.0,0.0,12.0,0.0,1.733,0.345,0.032,0.127,2.0,0.0,0.0,1.0,0.0,17.0,0.0,0.18,5.6,0.0,2.14,0.0,19.0,0.093,0.56,20.0,0.153,99.0,341.0,0.4,0.34,2.48,0.125265306122449,0.13764,0.20326887176327796,0.025614069114138386,0.35293713563449675,0.10183524707757705,0.062259736222326896,0.0,0.09986398912017433,0.17498568919860624,0.17170615384615387,0.0534286810768102,0.09081011196019192,0.10073273827805589,0.09184959957728574,0.08991469194312798,0.025030558922339814,0.07461884244650964,0.11079091272875334,28.56,2.8,0.54,0.24,0.0,0.3,0.0,0.0,0.0,16.3,2.327,8.055,5.065,0.0,2.25,0.0,0.0,50.42
68,0.2,0.0,0.0,14.0,0.0,7.0,0.0,0.162,0.041,0.039,0.029,37.0,2.0,0.0,22.0,0.0,0.0,0.0,0.055,4.0,0.0,0.23,5.3,417.0,0.138,1.8,55.0,0.094,7.0,127.0,0.4,0.15,0.52,0.024,0.106,0.041,0.008,0.052,0.019,0.008,0.0,0.014,0.025,0.028,0.009,0.019,0.013,0.021,0.014,0.008,0.009,0.022,16.23,6.6,2.58,0.98,0.0,1.19,0.0,0.0,0.41,0.15,0.0,0.0,0.0,0.0,1.27,0.0,0.0,81.83
103,0.5,0.1,78.0,100.0,0.0,7.0,0.0,7.245,2.5,0.442,0.258,0.0,0.0,0.0,0.0,0.0,0.0,6.92,0.676,0.0,0.0,0.17,0.0,3.0,0.199,4.5,29.0,0.025,225.0,320.0,36.3,4.5,23.08,0.897,1.039,2.008,0.167,2.253,0.727,0.505,0.151,0.75,1.274,1.358,0.438,0.659,0.935,0.549,0.662,0.153,0.492,0.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.122,0.202,0.07,0.0,1.0,0.0,0.0,74.87
106,0.6,0.1,0.0,11.0,0.0,100.0,0.0,1.128,0.578,0.128,0.228,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.19,16.5,0.0,0.0,0.0,25.0,0.352,3.21,37.0,0.506,173.0,322.0,0.6,1.51,8.96,0.356,0.611,1.433,0.334,1.258,0.319,0.257,0.0,0.326,0.628,0.712,0.105,0.442,0.356,0.495,0.328,0.0,0.252,0.399,22.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.057,0.104,0.219,0.0,1.0,0.0,0.0,67.34
322,3.0,1.9,2.0,4186.0,0.0,31.0,17.0,3.7,0.1,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,7.0,0.0,0.0,0.0,280.0,0.17,1.0,34.0,0.4,203.0,262.0,6.1,0.88,9.0,0.4545918367346939,0.4995,0.7376692926893152,0.0929542830755022,1.2808202502864803,0.3695633966524973,0.22594259112941212,0.0,0.36240963793611647,0.6350287108013937,0.6231271712158809,0.1938944071335854,0.32955282566198685,0.3655623566542351,0.33332515975627885,0.3263033175355451,0.09083670576655578,0.2707941862978172,0.4020637961930565,67.64,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.86,0.9,0.14,0.0,16.0,0.0,0.0,4.36
316,16.0,2.5,0.0,333.0,7.2,18.0,15.0,1.425,0.11,0.106,0.141,27.0,5.0,0.0,5.0,5.0,8.0,0.08,0.03,1.3,0.0,1.72,4.1,22.0,0.047,1.22,10.0,0.224,43.0,65.0,2.4,0.23,3.0,0.093,0.112,0.156,0.059,0.906,0.098,0.062,0.0,0.12,0.211,0.121,0.052,0.138,0.314,0.154,0.089,0.042,0.09,0.138,42.6,2.6,21.4,0.0,0.0,0.0,0.0,0.0,0.0,16.1,2.457,7.449,5.376,0.0,1.1,0.0,0.0,37.6
384,3.1,0.5,0.0,288.0,22.4,18.0,0.0,6.006,0.434,0.178,0.075,72.0,4.0,21.0,33.0,0.0,537.0,0.0,0.181,0.0,0.0,0.29,1.1,9.0,0.569,1.87,159.0,0.985,277.0,327.0,9.9,3.99,9.7,0.671,0.581,0.767,0.156,1.89,0.431,0.28,0.0,0.372,1.053,0.312,0.21,0.488,0.706,0.48,0.363,0.091,0.387,0.523,80.1,2.9,0.72,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.48,0.92,1.35,0.0,2.0,0.0,0.0,5.0
383,11.0,3.8,0.0,447.0,39.8,28.0,0.0,0.858,1.104,0.285,0.283,97.0,27.0,0.0,6.0,0.0,104.0,0.51,0.116,0.6,2.0,0.29,1.6,105.0,0.244,1.89,91.0,1.963,343.0,446.0,19.8,2.64,13.16,0.6647142857142857,0.73038,1.0786364324212654,0.13591981836373435,1.8728438326411199,0.5403838111052072,0.33037827769589595,0.0,0.5299234261376993,0.9285530926829267,0.9111503970223326,0.2835167108753316,0.48187946507908297,0.5345334015077482,0.48739545582140337,0.47712796208530817,0.13282344976531935,0.3959612768532527,0.5879066175445137,58.84,7.9,26.32,0.0,0.0,0.0,0.0,0.0,0.0,10.53,3.846,2.897,2.058,0.0,1.97,0.0,0.0,15.52
108,2.4,0.6,50.0,71.0,0.0,15.0,0.0,1.5,0.75,0.04,0.01,100.0,30.0,0.0,0.0,0.0,0.0,2.0,0.3,0.0,0.0,0.0,0.0,21.0,0.031,0.46,32.0,0.013,313.0,404.0,36.5,0.39,20.21,1.222,1.21,2.07,0.217,3.017,0.97,0.595,0.0,0.931,1.643,1.856,0.598,0.789,0.715,0.825,0.886,0.226,0.682,1.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,0.609,0.728,0.518,0.0,1.09,0.0,0.0,77.97
43,0.3,0.1,0.0,25.0,19.1,61.0,0.0,0.745,0.309,0.09,0.139,754.0,38.0,6.0,450.0,0.0,1590.0,0.0,0.219,85.0,0.0,0.88,177.0,42.0,0.07,1.4,23.0,0.337,69.0,389.0,1.6,0.42,3.38,0.0,0.203,0.0,0.022,0.0,0.0,0.076,0.0,0.132,0.152,0.154,0.032,0.098,0.0,0.0,0.12,0.037,0.0,0.155,8.95,3.8,2.2,0.93,0.0,0.81,0.0,0.0,0.46,0.3,0.062,0.023,0.153,0.0,1.37,0.0,0.0,86.0
